[GIN] 2019/02/26 - 13:33:32 | 200 |      1.9969ms |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:33:34 | 200 |       998.2µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:33:34 | 200 |         996µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:33:34 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:33:34 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:33:34 | 200 |       996.4µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:33:35 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:33:35 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:33:35 | 200 |      1.9939ms |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:33:35 | 200 |       999.3µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:33:35 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:35:24 | 200 |       997.6µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:35:25 | 200 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:35:25 | 200 |       997.2µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:35:25 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:35:25 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:35:25 | 200 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:35:25 | 200 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:35:26 | 200 |      1.9963ms |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:35:26 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:35:26 | 403 |            0s |       127.0.0.1 | GET      /auth?username=test&password=test123456
[GIN] 2019/02/26 - 13:49:01 | 200 |       996.1µs |       127.0.0.1 | GET      /auth?username=test&password=test123456
